Koordinaten;Name;Link;Beschreibung
POINT (-0.936807 49.193827);GAG365: The Ghost Army;https://www.geschichte.fm/archiv/gag365;Wir springen in dieser Folge in die letzten Jahre des 2. Weltkriegs. Nach der Landung der Alliierten, wird auf dem europäischen Kontinent ein US-amerikanischer Militärverband wirken, dessen einzige Aufgabe Tarnung und v.a. Täuschung ist. Wir sprechen in dieser Folge über die 23rd Headquarters, Special Troops, die mit hunderten Künstlern, Audiotechnikern und Funkspezialisten die Wehrmacht hinters Licht führten.
POINT (-6.0072184 54.5498161);GAG356: Das DeLorean-Drama;https://www.geschichte.fm/archiv/gag356;Wir sprechen in dieser Folge über ein Auto, von dem nur etwa 9.000 Stück produziert wurden, und dessen Herstellung sich als finanzielles Desaster entpuppte. Nach kurzer Zeit war das Unternehmen insolvent und der Firmengründer wurde wegen Drogenhandels verhaftet. Es war des Ende eines sagenhaften Aufstiegs: John DeLorean schaffte es aus einfachen Verhältnissen in Rekordzeit bis in die Chefetage des damals weltweit größten Autoherstellers. Das Auto, das er erfand, der DMC-12, war zwar ein großer Flop, aber trotzdem genießt es heute einen Kultstatus wie nur sehr wenige Automodelle. Und daran ist Hollywood schuld. Das in der Folge erwähnte Buch ist von Michael Schäfer und heißt „Zu früh für die Zukunft: Das DeLorean-Drama“.
POINT (-0.1747164 51.5162798);GAG345: Suffrajitsu;https://www.geschichte.fm/archiv/gag345;Wir springen in dieser Folge nach Großbritannien, in die Jahre vor dem Beginn des 1. Weltkriegs. Die WSPU kämpft für das Frauenwahlrecht, doch die Proteste und der zivile Ungehorsam sind für die Suffragetten nicht ungefährlich. Um sich besser gegen die Gewalt des Staates als auch ihrer Gegner wehren zu können, tritt Edith Garrud auf den Plan, die nun mit ihren Fähigkeiten aushelfen soll. Die verwendete
POINT (-74.1282072 40.6559719);GAG344: Der Artischockenkrieg;https://www.geschichte.fm/archiv/gag344;"Am 21. Dezember 1935 verkündete Fiorello LaGuardia, Bürgermeister von New York, im Kampf gegen die Mafia ein Verkaufsverbot für Artischocken. Es war der Höhepunkt einer jahrelangen, gewaltvollen Auseinandersetzung: Der „Artischockenkönig“ Ciro Terranova – Mitglied der Genovese-Familie – beherrschte den gesamten US-Artischockenhandel. Ein Millionengeschäft, bei dem er die Preise nach Belieben diktierte. Wir sprechen in dieser Folge darüber, ob LaGuardia mit seinem Kampf gegen die Mafia Erfolg hatte und welche Folgen das Verkaufsverbot nach sich zog. Das in der Folge erwähnte Buch heißt „Murder, Inc., and the Moral Life Gangsters and Gangbusters in La Guardia&#8217;s New York“ von Robert Weldon Whalen und der Blogbeitrag mit den Originalquellen ist hier zu finden: Behold the Baby Artichoke, or, Power to the Punies"
POINT (6.1431577 46.2043907);GAG343: Phoebus und die geplante Obsoleszenz;https://www.geschichte.fm/archiv/gag343;Wir springen in dieser Folge ins frühe 20. Jahrhundert, genauer an den 24.12. des Jahres 1924. An diesem Weihnachtsabend treffen Vertreter der größten Glühbirnenhersteller weltweit zusammen, um etwas zu gründen, das sie Phoebus nennen werden. Obwohl der Zusammenschluss nicht länger als 15 Jahre halten wird, werden dessen Folgen noch lange anhalten. Wir werden über diese Folgen, aber auch über das Prinzip, dem die Machenschaften des Kartells zugrunde liegen, sprechen: die geplante Obsoleszenz.
POINT (-93.2277285 44.97399);GAG340: Tauben, die Raketen steuern und Kybernetik;https://www.geschichte.fm/archiv/gag340;In den 1940er-Jahren entwickelte B.F. Skinner, der Begründer des Radikalen Behaviorismus, die Idee, Raketen mit Hilfe von Tauben zu steuern. Die Tauben sollten vorne in der Kapsel sitzen, auf einen Bildschirm mit Sensoren picken und so die Rakete auf Kurs halten. Zeitgleich arbeitete ein amerikanischer Mathematiker an einem Konzept, das unser Verständnis von Maschinen und wie wir mit ihnen umgehen, revolutionieren sollte. Wir sprechen in der Folge über operantes Konditionieren, die Skinner-Box und die Anfänge der Kybernetik. Vielen Dank an Christiane Attig, die uns in dieser Folge als Expertin unterstützt hat. Sie macht ua. die Podcasts Brainflicks und Science S*heroes.
POINT (-74.4012651 40.6951408);GAG339: Der Vocoder;https://www.geschichte.fm/archiv/gag339;"Wir springen in dieser Folge in die 1940er Jahre. Um abhörsichere Kommunikation der Alliierten zu gewährleisten, entwickeln die Bell Labs ein System, dessen Herzstück ein neues Gerät ist, das Sprache in seine Einzelteile zerlegen und wieder synthetisieren kann: der Vocoder. Zu dieser Zeit weiß allerdings noch niemand, dass dieser Vocoder nicht nur äußerst wichtig für den weiteren Kriegsverlauf sein wird, sondern auch maßgeblichen Anteil am Sound der neu entstehenden elektronischen Musik haben wird. Das erwähnte Buch heißt &#8222;How to Wreck a Nice Beach&#8220; von Dave Tompkins. Das Episodenbild zeigt ein SIGSALY Terminal, mit den beiden Turntables zur linken Seite. Wer sich die in der Folge erwähnten Songs anhören will:  Spotify: https://open.spotify.com/playlist/5Sil3I7atDLG9U66G4wMsa?si=cf320f58da8f4382 YouTube Music: https://music.youtube.com/playlist?list=PL-YK_FZp1Vp9Br_oMdnSPKG-eLkYrW4yW&amp;feature=share"
POINT (-69.66449 43.8211941);GAG334: Rachel Carson und der stumme Frühling;https://www.geschichte.fm/archiv/gag334/;Wir beschäftigen uns in dieser Folge zunächst mit einem Tier, das die Wissenschaft lange Zeit vor große Rätsel gestellt hat – und eigentlich noch immer stellt: den Aal. Die Aalfrage soll aber nicht vom eigentlichen Thema ablenken: Wir sprechen über Rachel Carson, die eines der einflussreichsten Bücher der 1960er-Jahre geschrieben hat. Sie hat mit „Silent Spring“ nicht nur für ein Verbot des Pestizids DDT gesorgt, sondern auch das Umweltbewusstsein einer ganzen Generation geprägt hat und damit die entstehende Ökologiebewegung.
POINT (37.7068736 55.771849);GAG331: Wie Tetris die Welt eroberte;https://www.geschichte.fm/archiv/gag331/;Wir springen in dieser Folge in die 80er Jahre des 20. Jahrhunderts. Im Moskauer Rechenzentrum der Russischen Akademie der Wissenschaften erfindet ein Programmierer ein Spiel, das die Welt erobern sollte: TETRIS. Bis es allerdings soweit ist, entspinnt sich noch eine Geschichte, die ihresgleichen sucht, und beispielhaft für den Wandel ist, den die Sowjetunion in den folgenden Jahren bis zu ihrer kompletten Öffnung durchmachen wird. Die erwähnte
POINT (-79.3831843 43.653226);GAG327: Das große Geburtenrennen von Toronto;https://www.geschichte.fm/archiv/gag327/;"Am 31. Oktober 1926 stirbt der kanadische Anwalt Charles Vance Millar. An sich nicht so außergewöhnlich, doch sein Testament wird seine Heimatstadt Toronto bis in die späten 30er-Jahre in den Fokus nationaler und internationaler Medien katapultieren. Denn Punkt 9 seines Testaments verfügt, dass rund 500.000 Dollar seines Erbes an jene Frau vergeben werden sollen, die in den zehn Jahren nach seinem Tod die meisten Kinder gebiert. Wir sprechen über dieses Testament, das das sogenannte &#8222;Great Stork Derby&#8220; auslöste, und warum das Ganze nicht so lustig war, wie es klingt. Das Episodenbild zeigt ein Storchennest. Die erwähnte Dissertation von Elizabeth Wilton ist hier zu finden: https://www.gwern.net/docs/history/1994-wilton.pdf Das erwähnte Buch von Mark Orkin gibt&#8217;s auf Archive.org: https://archive.org/details/greatstorkderby0000orki"
